Gene ID,Gene Name,Col.0,pp7l.1
AT2G19580,TET2,32.07057566831039,43.288147134092576
AT2G19582,NA,1.491654682246995,2.7630732213250577
AT2G19590,ACO1,11.93323745797596,19.341512549275407
AT2G19600,KEA4,117.8407198975126,163.02132005817842
AT2G19610,NA,5.96661872898798,2.7630732213250577
AT2G19620,NDL3,83.53266220583171,158.41619802263665
AT2G19630,NA,0,0
AT2G19640,ASHR2,58.9203599487563,70.91887934734315
AT2G19650,NA,36.545539715051376,11.973317292408584
AT2G19660,NA,20.13733821033443,16.57843932795035
AT2G19670,PRMT12,32.816403009433884,27.630732213250578
AT2G19680,NA,73.09107943010275,69.9978549402348
AT2G19690,PLA2-BETA,15.662374163593446,22.104585770600462
AT2G19700,NA,0,0
AT2G19710,NA,102.92417307504265,139.9957098804696
AT2G19720,RPS15AB,21.628992892581426,25.788683399033875
AT2G19730,RPL28A,1203.0195012322013,1504.9538812150481
AT2G19740,RPL31A,107.39913712178362,103.1547335961355
AT2G19750,RPS30A,255.07295066423612,291.04371264623944
AT2G19760,PRO1,1302.2145376016265,2205.8534550245045
AT2G19770,PRO4,0,0.9210244071083526
AT2G19780,NA,56.6828779253858,58.94556205493457
AT2G19790,NA,138.72388544897052,108.68088003878562
AT2G19796,NA,0,0
AT2G19800,MIOX2,676.4653983990122,845.5004057254678
AT2G19802,NA,0,0
AT2G19810,NA,152.89460493031697,276.3073221325058
AT2G19820,LBD9,0,0
AT2G19830,VPS32.1,281.1769076035585,278.1493709467225
AT2G19850,NA,0,0
AT2G19860,HXK2,108.14496446290713,94.86551393216033
AT2G19870,NA,39.52884907954537,47.89326916963434
AT2G19880,NA,349.0471956457968,444.85478863333435
AT2G19890,NA,2.237482023370492,8.289219663975175
AT2G19893,NA,0,0
AT2G19900,NADP-ME1,11.187410116852462,36.840976284334104
AT2G19910,RDR3,14.17071948134645,17.4994637350587
AT2G19920,NA,5.96661872898798,20.26253695638376
AT2G19930,NA,41.766331102915856,56.18248883360951
AT2G19940,NA,176.7610798462689,163.02132005817842
AT2G19950,GC1,99.19503636942515,96.70756274637702
AT2G19960,NA,0,0.9210244071083526
AT2G19970,NA,46.98712249078034,49.73531798385104
AT2G19980,NA,0.7458273411234975,0.9210244071083526
AT2G19990,PR-1-LIKE,12.679064799099455,6.447170849758469
AT2G20000,CDC27B,101.43251839279564,116.97009970276079
AT2G20010,NA,196.15259071547982,213.6776624491378
AT2G20020,CAF1,68.61611538336176,45.13019594830928
AT2G20030,ATL12,10.441582775728964,17.4994637350587
AT2G20050,NA,313.24748327186893,351.8313235153907
AT2G20060,NA,107.39913712178362,81.05014782553503
AT2G20070,NA,0,0
AT2G20080,SPEAR1,11.93323745797596,15.657414920841996
AT2G20100,NA,37.29136705617487,53.41941561228445
AT2G20110,NA,15.662374163593446,19.341512549275407
AT2G20120,COV1,283.414389626929,326.9636645234652
AT2G20130,LCV1,117.8407198975126,158.41619802263665
AT2G20140,RPT2B,134.99474874335303,161.17927124396172
AT2G20142,NA,23.12064757482842,45.13019594830928
AT2G20150,NA,1.491654682246995,2.7630732213250577
AT2G20160,ASK17,0,0
AT2G20170,NA,0,0.9210244071083526
AT2G20180,PIF1,186.45683528087434,190.652052271429
AT2G20190,CLASP,666.7696429644067,636.4278653118716
AT2G20208,LCR60,0.7458273411234975,0.9210244071083526
AT2G20210,NA,45.49546780853334,59.866586462042925
AT2G20230,TOM2AH2,660.0571968942952,701.8205982165647
AT2G20240,NA,20.13733821033443,23.94663458481717
AT2G20250,NA,17.15402884584044,18.420488142167052
AT2G20260,PSAE2,3251.0613799573252,3872.9076318906227
AT2G20270,NA,164.82784238829294,163.94234446528677
AT2G20280,NA,90.99093561706668,73.68195256866821
AT2G20290,XI-G,64.88697867774428,85.65526986107679
AT2G20300,ALE2,196.15259071547982,166.70541768661184
AT2G20310,RIN13,46.24129514965684,26.709707806142227
AT2G20320,NA,58.1745326076328,54.34044001939281
AT2G20330,NA,50.71625919639782,43.288147134092576
AT2G20340,ELI5,56.6828779253858,42.36712272698422
AT2G20350,ERF120,0,0.9210244071083526
AT2G20360,NA,568.320433936105,517.6157167948942
AT2G20362,NA,7.458273411234974,11.973317292408584
